ФИО,"Баллы, ед.","Баллы, %",Баллы по ключевым навыкам,labels
ФИО_257,100,"9,8","9,8",8
ФИО_1,100,"19,18","19,18",8
ФИО_545,100,"19,18","19,18",8
ФИО_619,100,"54,42","54,42",1
ФИО_691,100,"54,42","54,42",1
ФИО_488,100,"53,65","53,65",16
ФИО_709,100,"53,65","53,65",16
ФИО_382,100,"44,8","44,8",1
ФИО_520,100,"44,8","44,8",1
ФИО_202,100,"33,62","33,62",7
ФИО_298,100,"33,62","33,62",7
ФИО_23,100,"32,98","32,98",8
ФИО_44,100,"60,84","60,84",9
ФИО_117,100,"83,31","83,31",16
ФИО_322,100,"19,28","19,28",8
ФИО_352,100,"69,17","69,17",10
ФИО_586,100,"74,7","74,7",16
ФИО_699,100,"37,08","37,08",7
ФИО_711,100,"56,56","56,56",1
ФИО_8,100,"35,22","35,22",6
ФИО_338,100,"64,09","64,09",15
ФИО_364,100,"55,14","55,14",1
ФИО_369,100,"66,96","66,96",15
ФИО_389,100,"56,75","56,75",4
ФИО_419,100,"54,01","54,01",1
ФИО_503,100,"36,17","36,17",8
ФИО_52,100,"52,72","52,72",-1
ФИО_57,100,"19,89","19,89",7
ФИО_81,100,"54,04","54,04",2
ФИО_223,100,"43,11","43,11",16
ФИО_423,100,"40,57","40,57",7
ФИО_509,100,"63,82","63,82",16
ФИО_578,100,"16,59","16,59",8
ФИО_15,100,"48,25","48,25",3
ФИО_170,100,"56,81","56,81",5
ФИО_300,100,"18,81","18,81",11
ФИО_336,100,"51,91","51,91",5
ФИО_365,100,"17,82","17,82",17
ФИО_407,100,"41,87","41,87",2
ФИО_465,100,"21,96","21,96",11
ФИО_491,100,"33,48","33,48",12
ФИО_566,100,"31,29","31,29",13
ФИО_624,100,"40,32","40,32",1
ФИО_3,100,"38,48","38,48",7
ФИО_58,100,"39,07","39,07",2
ФИО_125,100,"39,28","39,28",2
ФИО_169,100,"37,25","37,25",2
ФИО_192,100,26,26,17
ФИО_203,100,"51,38","51,38",8
ФИО_295,100,"19,03","19,03",11
ФИО_299,100,"39,59","39,59",2
ФИО_333,100,"28,33","28,33",1
ФИО_348,100,"25,6","25,6",-1
ФИО_366,100,"48,14","48,14",-1
ФИО_379,100,"8,92","8,92",0
ФИО_471,100,"48,92","48,92",5
ФИО_484,100,"25,52","25,52",11
ФИО_498,100,"34,28","34,28",1
ФИО_562,100,"11,3","11,3",0
ФИО_620,100,"42,73","42,73",5
ФИО_622,100,"13,37","13,37",0
ФИО_626,100,"22,27","22,27",1
ФИО_663,100,"38,1","38,1",2
ФИО_13,100,"60,1","60,1",2
ФИО_38,100,"35,95","35,95",0
ФИО_67,100,"55,65","55,65",1
ФИО_118,100,"42,35","42,35",17
ФИО_172,100,"57,6","57,6",1
ФИО_231,100,"63,4","63,4",3
ФИО_290,100,"66,7","66,7",5
ФИО_437,100,"44,6","44,6",17
ФИО_485,100,"51,1","51,1",1
ФИО_495,100,"66,4","66,4",8
ФИО_515,100,"54,05","54,05",12
ФИО_591,100,"37,5","37,5",0
ФИО_612,100,"72,8","72,8",8
ФИО_630,100,"47,1","47,1",14
ФИО_707,100,"54,1","54,1",1
ФИО_43,100,"59,35","59,35",16
ФИО_121,100,"16,75","16,75",-1
ФИО_271,100,"39,25","39,25",7
ФИО_327,100,33,33,6
ФИО_351,100,"62,5","62,5",16
ФИО_404,100,"41,3","41,3",7
ФИО_414,100,"41,9","41,9",-1
ФИО_475,100,"56,55","56,55",1
ФИО_514,100,47,47,1
ФИО_528,100,"68,1","68,1",-1
ФИО_553,100,"53,4","53,4",9
ФИО_631,100,"40,6","40,6",1
ФИО_675,100,"56,8","56,8",10
ФИО_704,100,"54,7","54,7",9
ФИО_46,72,"18,83","26,15",13
ФИО_47,72,"10,94","15,19",11
ФИО_70,72,"16,23","22,54",13
ФИО_108,72,"46,78","64,97",3
ФИО_179,72,"48,06","66,75",7
ФИО_191,72,"38,11","52,93",2
ФИО_246,72,"15,9","22,08",14
ФИО_284,72,"11,16","15,5",11
ФИО_408,72,"10,95","15,21",11
ФИО_450,72,"13,06","18,14",14
ФИО_499,72,"38,67","53,71",7
ФИО_510,72,"26,28","36,5",1
ФИО_527,72,"49,83","69,21",7
ФИО_706,72,"40,5","56,25",2
ФИО_49,100,"59,39","59,39",2
ФИО_129,100,"32,97","32,97",11
ФИО_199,100,"31,75","31,75",11
ФИО_262,100,"23,76","23,76",11
ФИО_314,100,"78,29","78,29",5
ФИО_328,100,"20,43","20,43",17
ФИО_354,100,"73,31","73,31",5
ФИО_381,100,"60,98","60,98",7
ФИО_517,100,"26,76","26,76",11
ФИО_547,100,"66,41","66,41",3
ФИО_76,100,"49,86","49,86",1
ФИО_84,100,"65,42","65,42",16
ФИО_154,100,"39,41","39,41",1
ФИО_159,100,"42,37","42,37",12
ФИО_222,100,"43,94","43,94",1
ФИО_418,100,"25,72","25,72",7
ФИО_441,100,"15,11","15,11",8
ФИО_538,100,"45,76","45,76",9
ФИО_609,100,"16,68","16,68",8
ФИО_676,100,"53,32","53,32",10
ФИО_678,100,"39,35","39,35",1
ФИО_702,100,"69,26","69,26",16
ФИО_65,100,"7,51","7,51",-1
ФИО_91,100,"44,85","44,85",2
ФИО_134,100,"65,58","65,58",5
ФИО_153,100,"27,37","27,37",14
ФИО_163,100,"39,56","39,56",12
ФИО_213,100,"25,39","25,39",14
ФИО_217,100,"54,86","54,86",3
ФИО_256,100,"48,13","48,13",2
ФИО_313,100,"58,32","58,32",5
ФИО_492,100,"24,24","24,24",11
ФИО_519,100,"38,18","38,18",12
ФИО_555,100,"37,9","37,9",1
ФИО_563,100,"27,64","27,64",14
ФИО_596,100,"48,1","48,1",2
ФИО_607,100,"23,14","23,14",11
ФИО_648,100,"28,11","28,11",14
ФИО_653,100,"33,58","33,58",12
ФИО_672,100,"52,28","52,28",3
ФИО_705,100,"31,93","31,93",13
ФИО_14,100,"43,58","43,58",1
ФИО_115,100,"44,63","44,63",1
ФИО_122,100,"67,93","67,93",-1
ФИО_141,100,"57,89","57,89",1
ФИО_196,100,"58,55","58,55",1
ФИО_282,100,"55,42","55,42",9
ФИО_304,100,"43,69","43,69",1
ФИО_309,100,"50,76","50,76",12
ФИО_357,100,"62,28","62,28",1
ФИО_362,100,"50,23","50,23",1
ФИО_434,100,"34,83","34,83",-1
ФИО_451,100,"49,74","49,74",1
ФИО_505,100,"62,48","62,48",3
ФИО_632,100,"37,64","37,64",-1
ФИО_646,100,"54,82","54,82",1
ФИО_623,100,"22,95","22,95",1
ФИО_703,100,"22,95","22,95",1
ФИО_164,100,"61,26","61,26",8
ФИО_310,100,"61,26","61,26",8
ФИО_113,100,"59,78","59,78",8
ФИО_353,100,"59,78","59,78",8
ФИО_557,100,"13,35","13,35",11
ФИО_659,100,"13,35","13,35",11
ФИО_287,100,"8,62","8,62",0
ФИО_522,100,"8,62","8,62",0
ФИО_21,100,"56,5","56,5",5
ФИО_476,100,"56,5","56,5",5
ФИО_275,100,"44,97","44,97",2
ФИО_637,100,"44,97","44,97",2
ФИО_145,100,"40,97","40,97",3
ФИО_240,100,"40,97","40,97",3
ФИО_316,100,"23,93","23,93",1
ФИО_323,100,"23,93","23,93",1
ФИО_104,100,"7,34","7,34",0
ФИО_580,100,"7,34","7,34",0
ФИО_477,100,"31,71","31,71",1
ФИО_554,100,"31,71","31,71",1
ФИО_126,100,"2,38","2,38",0
ФИО_582,100,"2,38","2,38",0
ФИО_146,100,"46,79","46,79",5
ФИО_406,100,"46,79","46,79",5
ФИО_187,100,"4,34","4,34",0
ФИО_665,100,"4,34","4,34",0
ФИО_397,100,22,22,7
ФИО_692,100,22,22,7
ФИО_143,100,22,22,7
ФИО_41,100,"66,78","66,78",15
ФИО_120,100,"66,78","66,78",15
ФИО_180,100,"66,78","66,78",15
ФИО_17,100,"69,17","69,17",10
ФИО_387,100,"69,17","69,17",10
ФИО_470,100,"69,17","69,17",10
ФИО_341,100,"65,33","65,33",15
ФИО_668,100,"65,33","65,33",15
ФИО_241,100,"65,33","65,33",15
ФИО_396,100,"57,83","57,83",9
ФИО_409,100,"57,83","57,83",9
ФИО_516,100,"57,83","57,83",9
ФИО_230,100,19,19,7
ФИО_422,100,19,19,7
ФИО_444,100,19,19,7
ФИО_472,100,15,15,7
ФИО_576,100,15,15,7
ФИО_166,100,15,15,7
ФИО_78,100,43,43,12
ФИО_447,100,43,43,12
ФИО_552,100,43,43,12
ФИО_221,100,"43,67","43,67",12
ФИО_570,100,"43,67","43,67",12
ФИО_587,100,"43,67","43,67",12
ФИО_53,100,"36,01","36,01",13
ФИО_95,100,"49,56","49,56",2
ФИО_100,100,"39,92","39,92",12
ФИО_152,100,"31,26","31,26",11
ФИО_178,100,"70,33","70,33",-1
ФИО_207,100,"35,63","35,63",14
ФИО_214,100,"63,04","63,04",5
ФИО_312,100,"32,35","32,35",14
ФИО_326,100,"21,47","21,47",0
ФИО_391,100,"46,08","46,08",1
ФИО_392,100,"28,33","28,33",11
ФИО_428,100,"43,23","43,23",1
ФИО_435,100,"41,43","41,43",1
ФИО_443,100,"45,29","45,29",1
ФИО_501,100,"27,67","27,67",11
ФИО_652,100,"55,96","55,96",2
ФИО_656,100,"78,15","78,15",-1
ФИО_673,100,"40,93","40,93",12
ФИО_680,100,"46,31","46,31",1
ФИО_710,100,"50,09","50,09",1
ФИО_137,100,"79,38","79,38",1
ФИО_181,100,"79,38","79,38",1
ФИО_595,100,"79,38","79,38",1
ФИО_20,100,"83,44","83,44",15
ФИО_421,100,"83,44","83,44",15
ФИО_560,100,"83,44","83,44",15
ФИО_186,100,"69,04","69,04",1
ФИО_358,100,"69,04","69,04",1
ФИО_618,100,"69,04","69,04",1
ФИО_105,100,"69,12","69,12",12
ФИО_416,100,"69,12","69,12",12
ФИО_644,100,"69,12","69,12",12
ФИО_277,100,"57,34","57,34",6
ФИО_371,100,"57,34","57,34",6
ФИО_405,100,"57,34","57,34",6
ФИО_40,100,"61,71","61,71",6
ФИО_177,100,"61,71","61,71",6
ФИО_666,100,"61,71","61,71",6
ФИО_131,100,"80,91","80,91",1
ФИО_208,100,"80,91","80,91",1
ФИО_393,100,"80,91","80,91",1
ФИО_59,100,"65,17","65,17",11
ФИО_142,100,"65,17","65,17",11
ФИО_483,100,"65,17","65,17",11
ФИО_161,100,"31,96","31,96",1
ФИО_197,100,"26,18","26,18",11
ФИО_270,100,"17,23","17,23",-1
ФИО_272,100,"43,43","43,43",5
ФИО_386,100,"32,22","32,22",4
ФИО_424,100,"43,96","43,96",7
ФИО_482,100,"19,92","19,92",1
ФИО_627,100,"21,23","21,23",1
ФИО_712,100,"25,43","25,43",1
ФИО_109,100,"48,63","48,63",7
ФИО_147,100,"50,7","50,7",2
ФИО_149,100,"42,33","42,33",11
ФИО_150,100,"37,13","37,13",7
ФИО_245,100,"54,65","54,65",1
ФИО_248,100,"48,89","48,89",1
ФИО_479,100,"60,49","60,49",16
ФИО_34,100,"60,29","60,29",7
ФИО_61,100,"35,18","35,18",13
ФИО_93,100,"26,24","26,24",15
ФИО_116,100,"84,86","84,86",-1
ФИО_155,100,"41,12","41,12",12
ФИО_168,100,"20,07","20,07",11
ФИО_253,100,"47,88","47,88",1
ФИО_297,100,"82,34","82,34",8
ФИО_319,100,"46,84","46,84",1
ФИО_339,100,"37,39","37,39",12
ФИО_429,100,"42,51","42,51",1
ФИО_440,100,"40,69","40,69",1
ФИО_531,100,"17,4","17,4",11
ФИО_558,100,"17,55","17,55",11
ФИО_601,100,"38,16","38,16",1
ФИО_616,100,"27,19","27,19",14
ФИО_73,100,"71,02","71,02",4
ФИО_83,100,"72,93","72,93",16
ФИО_86,100,"40,55","40,55",7
ФИО_88,100,"63,74","63,74",9
ФИО_96,100,"47,99","47,99",1
ФИО_276,100,"16,72","16,72",8
ФИО_306,100,"80,95","80,95",16
ФИО_385,100,"55,11","55,11",1
ФИО_639,100,"16,35","16,35",8
ФИО_355,106,"62,61","59,07",-1
ФИО_395,106,"62,61","59,07",-1
ФИО_697,106,"62,61","59,07",-1
ФИО_0,106,"63,9","60,28",1
ФИО_508,106,"63,9","60,28",1
ФИО_549,106,"63,9","60,28",1
ФИО_64,106,"56,36","53,17",1
ФИО_448,106,"56,36","53,17",1
ФИО_496,106,"56,36","53,17",1
ФИО_82,106,"73,53","69,37",7
ФИО_124,106,"73,53","69,37",7
ФИО_633,106,"73,53","69,37",7
ФИО_394,106,"51,81","48,88",1
ФИО_600,106,"51,81","48,88",1
ФИО_650,106,"51,81","48,88",1
ФИО_247,106,"59,8","56,42",1
ФИО_539,106,"59,8","56,42",1
ФИО_654,106,"59,8","56,42",1
ФИО_195,106,"40,34","38,06",17
ФИО_454,106,"40,34","38,06",17
ФИО_605,106,"40,34","38,06",17
ФИО_5,106,"59,38","56,02",1
ФИО_317,106,"59,38","56,02",1
ФИО_614,106,"59,38","56,02",1
ФИО_524,100,"69,11","69,11",5
ФИО_571,100,"69,11","69,11",5
ФИО_22,100,"38,4","38,4",1
ФИО_608,100,"38,4","38,4",1
ФИО_6,100,"18,48","18,48",0
ФИО_532,100,"18,48","18,48",0
ФИО_119,100,"19,04","19,04",0
ФИО_442,100,"19,04","19,04",0
ФИО_160,100,"44,61","44,61",1
ФИО_260,100,"44,61","44,61",1
ФИО_292,100,"41,31","41,31",1
ФИО_350,100,"41,31","41,31",1
ФИО_329,100,20,20,0
ФИО_684,100,20,20,0
ФИО_252,100,"43,53","43,53",1
ФИО_269,100,"43,53","43,53",1
ФИО_534,100,"19,47","19,47",11
ФИО_649,100,"19,47","19,47",11
ФИО_537,100,"87,3","87,3",-1
ФИО_695,100,"87,3","87,3",-1
ФИО_157,100,"44,65","44,65",7
ФИО_610,100,"44,65","44,65",7
ФИО_12,100,"32,64","32,64",-1
ФИО_201,100,"30,93","30,93",1
ФИО_206,100,"47,71","47,71",7
ФИО_280,100,"67,54","67,54",-1
ФИО_463,100,"41,65","41,65",7
ФИО_511,100,"56,52","56,52",16
ФИО_579,100,"31,01","31,01",1
ФИО_32,100,"61,82","61,82",8
ФИО_89,100,"58,52","58,52",8
ФИО_101,100,"36,3","36,3",11
ФИО_140,100,"47,23","47,23",1
ФИО_183,100,"46,95","46,95",1
ФИО_209,100,"32,05","32,05",-1
ФИО_212,100,"35,25","35,25",11
ФИО_238,100,"45,71","45,71",1
ФИО_243,100,"53,3","53,3",1
ФИО_259,100,"40,55","40,55",17
ФИО_265,100,"46,73","46,73",1
ФИО_281,100,"39,15","39,15",11
ФИО_308,100,"49,7","49,7",1
ФИО_361,100,"31,55","31,55",17
ФИО_373,100,"44,7","44,7",1
ФИО_388,100,"59,05","59,05",5
ФИО_415,100,"44,1","44,1",11
ФИО_481,100,"52,75","52,75",2
ФИО_658,100,"52,13","52,13",1
ФИО_677,100,"47,8","47,8",12
ФИО_682,100,"46,91","46,91",1
ФИО_693,100,"50,53","50,53",7
ФИО_42,100,"69,9","69,9",10
ФИО_107,100,"22,1","22,1",8
XXX,100,"88,7","88,7",16
XXX,100,"89,65","89,65",16
XXX,100,"88,7","88,7",16
XXX,100,"89,65","89,65",16
ФИО_174,100,"45,9","45,9",7
ФИО_194,100,"48,2","48,2",1
ФИО_226,100,"74,2","74,2",10
ФИО_233,100,"34,3","34,3",8
ФИО_399,100,56,56,12
ФИО_426,100,"40,6","40,6",6
ФИО_430,100,"52,8","52,8",1
ФИО_464,100,"59,4","59,4",12
ФИО_543,100,"52,7","52,7",7
ФИО_585,100,"81,3","81,3",16
ФИО_687,100,"71,3","71,3",4
ФИО_2,100,"13,78","13,78",6
ФИО_77,100,"59,52","59,52",10
ФИО_92,100,"47,53","47,53",9
ФИО_110,100,"15,45","15,45",6
ФИО_148,100,"49,38","49,38",9
ФИО_188,100,"62,67","62,67",4
ФИО_204,100,"48,08","48,08",1
ФИО_278,100,"22,92","22,92",7
ФИО_288,100,"48,63","48,63",9
ФИО_302,100,"41,5","41,5",12
ФИО_401,100,"54,43","54,43",15
ФИО_494,100,6,6,8
ФИО_506,100,"51,02","51,02",9
ФИО_521,100,"54,18","54,18",1
ФИО_523,100,"4,88","4,88",8
ФИО_572,100,"38,12","38,12",1
ФИО_581,100,"36,47","36,47",1
ФИО_615,100,"33,62","33,62",1
ФИО_640,100,"57,98","57,98",10
ФИО_688,100,"61,47","61,47",4
ФИО_425,100,"46,25","46,25",11
ФИО_535,100,"46,25","46,25",11
ФИО_16,100,48,48,14
ФИО_268,100,48,48,14
ФИО_255,100,"48,75","48,75",11
ФИО_279,100,"48,75","48,75",11
ФИО_45,100,"63,25","63,25",1
ФИО_318,100,"63,25","63,25",1
ФИО_60,100,"88,25","88,25",5
ФИО_303,100,"88,25","88,25",5
ФИО_273,100,68,68,3
ФИО_127,100,68,68,3
ФИО_185,100,"55,5","55,5",1
ФИО_642,100,"55,5","55,5",1
ФИО_229,100,"74,5","74,5",1
ФИО_546,100,"74,5","74,5",1
ФИО_128,"68,39","68,39%",0,16
ФИО_176,"68,39","68,39%",0,16
ФИО_193,"68,39","68,39%",0,16
ФИО_403,"68,39","68,39%",0,16
ФИО_569,"68,39","68,39%",0,16
ФИО_628,"68,39","68,39%",0,16
ФИО_696,"68,39","68,39%",0,16
ФИО_74,"64,88","64,88%",0,4
ФИО_215,"64,88","64,88%",0,4
ФИО_216,"64,88","64,88%",0,4
ФИО_242,"64,88","64,88%",0,4
ФИО_346,"64,88","64,88%",0,4
ФИО_567,"64,88","64,88%",0,4
ФИО_599,"64,88","64,88%",0,4
ФИО_39,"59,39","59,39%",0,1
ФИО_62,"59,39","59,39%",0,1
ФИО_237,"59,39","59,39%",0,1
ФИО_431,"59,39","59,39%",0,1
ФИО_436,"59,39","59,39%",0,1
ФИО_645,"59,39","59,39%",0,1
ФИО_647,"59,39","59,39%",0,1
ФИО_151,"58,83","58,83%",0,9
ФИО_264,"58,83","58,83%",0,9
ФИО_311,"58,83","58,83%",0,9
ФИО_459,"58,83","58,83%",0,9
ФИО_461,"58,83","58,83%",0,9
ФИО_583,"58,83","58,83%",0,9
ФИО_604,"58,83","58,83%",0,9
ФИО_75,"56,03","56,03%",0,1
ФИО_236,"56,03","56,03%",0,1
ФИО_363,"56,03","56,03%",0,1
ФИО_383,"56,03","56,03%",0,1
ФИО_561,"56,03","56,03%",0,1
ФИО_669,"56,03","56,03%",0,1
ФИО_670,"56,03","56,03%",0,1
ФИО_165,"49,07","49,07%",0,1
ФИО_372,"49,07","49,07%",0,1
ФИО_413,"49,07","49,07%",0,1
ФИО_513,"49,07","49,07%",0,1
ФИО_568,"49,07","49,07%",0,1
ФИО_641,"49,07","49,07%",0,1
ФИО_664,"49,07","49,07%",0,1
ФИО_25,"44,54","44,54%",0,6
ФИО_224,"44,54","44,54%",0,6
ФИО_565,"44,54","44,54%",0,6
ФИО_574,"44,54","44,54%",0,6
ФИО_603,"44,54","44,54%",0,6
ФИО_629,"44,54","44,54%",0,6
ФИО_636,"44,54","44,54%",0,6
ФИО_33,"42,69","42,69%",0,7
ФИО_66,"42,69","42,69%",0,7
ФИО_80,"42,69","42,69%",0,7
ФИО_234,"42,69","42,69%",0,7
ФИО_320,"42,69","42,69%",0,7
ФИО_374,"42,69","42,69%",0,7
ФИО_651,"42,69","42,69%",0,7
ФИО_29,"41,88","41,88%",0,7
ФИО_250,"41,88","41,88%",0,7
ФИО_263,"41,88","41,88%",0,7
ФИО_380,"41,88","41,88%",0,7
ФИО_390,"41,88","41,88%",0,7
ФИО_592,"41,88","41,88%",0,7
ФИО_661,"41,88","41,88%",0,7
